,date,comments,likes,text
49,28/09/2021,60,3144,"Сжечь за собой мосты и открыть новую компанию? Или создать новое направление в действующем бизнесе? Как понять, что пришло время выбирать одно из двух, — в карточках РБК"
50,27/09/2021,337,4037,"Кабмин утвердил «Яндекс» в качестве поисковой системы, которая по умолчанию будет использоваться на продаваемых в России гаджетах с 1 января 2022 года, согласно распоряжению правительства.
⠀
Кроме того, в число обязательных к предустановке приложений для компьютеров вошли «Яндекс. Браузер», «МойОфис» и Kaspersky Internet Security."
51,27/09/2021,137,5880,Основатель компании Microsoft Билл Гейтс известен своей любовью к книгам. Он читает по книге в неделю и делится лучшим из прочитанного в своих заметках Gates Notes. Публикуем подборку самых интересных рекомендаций. Читайте и развивайтесь!
52,26/09/2021,195,4257,"Ипотека на 15-20 лет — обычная практика. Но что делать, если вы хотите выплатить ее побыстрее? @rbc_investments разбираются, что для этого нужно и как найти дополнительные деньги
⠀
#рбк #rbc #рбк_инвестиции"
53,26/09/2021,49,4625,"Множество поданных резюме на крупные должности даже не открывают. А если откроют — кандидата не обязательно позовут на собеседование. Глава Korn Ferry Гари Бернисон рассказывает, каким должно быть резюме, которое точно привлечет внимание.

Полную версию читайте по ссылке в шапке профиля

#рбк #rbc #рбк_pro"
54,25/09/2021,28,1758,"Многие инвесторы хотят добиться финансовой независимости и создать себе источник пассивного дохода. В этом могут помочь акции дивидендных компаний. @rbc_investments рассказывают, как грамотно действовать, чтобы заработать на дивидендах

#РБК #рбк_новости #rbc #инвестиции #новости"
55,25/09/2021,301,9466,"РБК Тренды изучили прогнозы российских и зарубежных футурологов, и составили список самых востребованных профессий на ближайшие 30 лет. Это профессии из 19 отраслей: от медицины и транспорта до культуры и космоса

#РБК #рбк_новости #rbc"
56,24/09/2021,103,2981,"Интернет полон советов о том, как лучше инвестировать сбережения. А как этого точно делать не стоит? @rbc_investments спросили экспертов и выделили шесть худших вещей, которые вы можете сделать со своими деньгами

#РБК #рбк_новости #rbc #статья"
57,24/09/2021,36,4805,📚🍸
58,24/09/2021,272,6108,"Миллиардер и владелец футбольного клуба «Краснодар» Сергей Галицкий сообщил, что болеет. В интервью для подкаста «КомментШоу» Галицкий сказал, что именно из-за этого он не может регулярно посещать матчи своей команды

#РБК #рбк_новости #rbc #новости"
59,24/09/2021,61,2464,"На рынке огромный выбор профессий: можно пойти учиться на флориста, аналитика данных, биоинформатика или дизайнера интерьеров. Но какое направление самое перспективное и как выбрать сферу по душе? Отвечают руководители Райффайзенбанка, Яндекса, Zoon, Skyeng и других компаний. Листайте карусель 👆
⠀
#что_изменилось #рбк #рбк_тренды #технологии #инновации #тренды #футурология"
60,24/09/2021,1415,22818,"Утром 23 сентября группа из 23 человек, состоявшая из жителей разных регионов России, начала восхождение на гору Эльбрус. На первом этапе восхождения несколько человек отказались от дальнейшего подъема и направились вниз. Оставшиеся 19 человек, несмотря на усложняющиеся погодные условия, продолжили подъем.
⠀
Примерно в 14:00 начался сильный ветер и пурга, группа оказалась в условиях плохой видимости, до одного метра, и температуры ниже -20 градусов. По решению гидов, группа разделилась. Во время спуска пять человек погибли, по предварительным данным причиной их гибели стало переохлаждение. Остальных эвакуировали спасатели.
⠀
В МЧС также рассказали, что гид, который привел альпинистов наверх, бросил их и начал спускаться сам, его встретили спасатели во время поисковых работ, передает ТАСС. Возбуждено уголовное дело по ч.3 ст.238 УК РФ (оказание услуг, не отвечающих требованиям безопасности жизни и здоровья потребителя, повлекшие по неосторожности смерть двух и более лиц)"
61,23/09/2021,96,5168,"Ежегодно ЮНЕСКО пополняет список всемирного наследия. В него входят как природные уникальные объекты, так и рукотворные памятники, которые имеют историческую и культурную ценность.
⠀
Собрали яркие российские шедевры архитектуры, которые попали в список культурного наследия ЮНЕСКО"
62,23/09/2021,475,5938,"МВД опубликовало ролик, предупреждающий об опасности онлайн-мошенничества. Сложно сказать, поможет ли это видео в борьбе с преступниками, но посмотреть его однозначно стоит — хотя бы ради спецэффектов."
63,23/09/2021,119,3978,"Вопрос про планы на ближайшие пять лет многим кажется дежурным и даже бесполезным. А значит, отвечая на него, можно отшутиться или вовсе не отвечать. Почему этот вопрос все еще имеет значение ― читайте в карточках РБК Pro

#РБК #рбк_новости #rbc #статья"
64,22/09/2021,54,5614,"Илон Маск — один из самых амбициозных современных предпринимателей. Он первым запустил в космос частный корабль, собирается основать колонию на Марсе и намерен создать глобальную сеть, обеспечивающую жителей широкополосным интернетом в любой точке планеты.
⠀
Изобретатель утверждает, что на его становление повлияла культовая книга «Автостопом по Галактике» — именно этот фантастический роман заставил Маска полюбить космос."
65,22/09/2021,291,4503,"Главный тренер «Ротора» и бывший футболист сборной России подал в суд на Facebook. По его словам, ни он, ни его друзья и знакомые не могут нормально использовать Facebook и Instagram, потому что при любом упоминании его фамилии они получают блокировку

#РБК #рбк_новости #rbc #новости #спорт"
66,22/09/2021,405,6594,"В 2021 году новые автомобили в России стремительно дорожают. Большинство автопроизводителей регулярно переписывает прайс-листы на свою продукцию, каждый месяц увеличивая рекомендованную розничную стоимость машин на несколько процентов.

Не отстают от них и дилеры, которые в условиях дефицита на рынке из-за перебоев в производстве еще сильнее накручивают ценники за установку сомнительного дополнительного оборудования. @autonews.ru решили сравнить цены на популярные машины осенью 2012 года и сейчас

#РБК #рбк_новости #rbc #новости"
67,21/09/2021,183,5045,«Вкусвилл» и «Азбука вкуса» объявили сегодня о ребрендинге. Как изменится внешний вид компаний и какие приятные бонусы ждут покупателей — смотрите в карточках РБК
68,21/09/2021,94,2258,"Новый состав Госдумы может пересмотреть закон о Центробанке, что вызывает «страх» у регулятора, предположил миллиардер Олег Дерипаска в своем Telegram-канале.

Так Дерипаска прокомментировал новость прошлой недели с выступления главы ЦБ Эльвиры Набиуллиной на Международном банковском форуме. Тогда она заявила, что Банк России может пересмотреть подходы к регулированию, чтобы стимулировать технологическую и экологическую трансформацию экономики. В частности, Набиуллина напомнила о скором введении углеродного налога в Евросоюзе, который будет взиматься с поставщиков продукции, произведенной с большим объемом выбросов парниковых газов.

«Действовать нужно сейчас. И банковский сектор как основной источник финансирования на российском финансовом рынке должен играть здесь ведущую роль. Со своей стороны Банк России готов к пересмотру подхода к регулированию для обеспечения необходимых структурных изменений в экономике и структурных изменений в структуре кредитования», — сказала она.

«Какая радость была бы у всех — и компаний, и граждан, услышавших такое. Но все знают, что это PR, и в реальности таких программ у ЦБ нет. А в следующем году он нам еще ставку обещает поднять на 1,5%. Читайте предложенную им денежно-кредитную политику. Верх мракобесия», — прокомментировал слова Набиуллиной Дерипаска

#РБК #рбк_новости #rbc #новости"
69,21/09/2021,52,8406,🤡📖
70,21/09/2021,1100,20337,"Правда ли зумеры охладели к сексу, позже женятся и не хотят заводить детей? На эти вопросы РБК Трендам ответил психолог Александр Рикель. Он рассказал, как современная молодежь воспринимает отношения и почему прагматичный подход к романтике стал нормой."
71,20/09/2021,135,7178,"Уроженец Индии, инженер по образованию и любитель крикета — почему все говорят о генеральном директоре Google и главе холдинговой компании Alphabet Сундаре Пичаи?"
72,20/09/2021,672,8029,"UPD: В пресс-службе вуза заявили, что стрелок «ликвидирован».

В понедельник, 20 сентября, 18-летний Тимур Бекмансуров открыл стрельбу в Пермском государственном национально-исследовательском университете.

Погибли восемь человек, сообщили в Следственном комитете. Точное число пострадавших там не назвали. 

Источник РБК, близкий к МВД, сообщил, что стрелявший задержан сотрудниками правоохранительных органов. При задержании стрелок был ранен, утверждает источник. Это позднее подтвердили в СК.

Источник в одном из федеральных ведомств сообщил РБК, что оружие было не травматическое, а огнестрельное.

«Сама нахожусь в одном из залов корпусов. Вижу, что на месте экстренные службы, полиция. Знаю про четырех пострадавших», — заявила в разговоре с РБК руководитель пресс-службы вуза Наталья Печищева. «Более четырех человек пострадали», — заявила позже Печищева, не уточнив данные о погибших.

По факту стрельбы возбуждено уголовное дело по ч. 2 ст. 105 УК (убийство). На место происшествия направлены следователи-криминалисты Главного управления криминалистики (Криминалистического центра) СК России для оказания практической помощи в расследовании."
73,19/09/2021,87,2575,"Общий объем кредитов, выданных россиянам, по итогам второго квартала достиг ₽10,7 трлн. Из них займы на ₽900 млрд — проблемные. При этом в Банке России считают, что число проблемных кредитов продолжит расти.
⠀
Если вы чувствуете, что погрязли в долгах, @rbc_investments рассказывают о трех способах погасить их как можно быстрее
⠀
#рбк #rbc #рбк_инвестиции"
